ciudad,pais,latitud,longitud,temperatura,sensacion_termica,humedad,velocidad_viento,descripcion,fecha_extraccion,codigo_tiempo
Bogota,Colombia,4.600,-74.083,11,12,100,4,Partly cloudy,2026-02-19T07:22:31.715331,116
Barranquilla,Colombia,10.964,-74.796,27,31,74,18,Partly Cloudy ,2026-02-19T07:22:32.820262,116
